車站名,停靠車種,主支線,縣市
臺東,對號,主線,臺東
山里,非對號,主線,臺東
鹿野,非對號,主線,臺東
瑞源,非對號,主線,臺東
瑞和,非對號,主線,臺東
關山,非對號,主線,臺東
海端,非對號,主線,臺東
池上,非對號,主線,臺東
富里,非對號,主線,花蓮
東竹,非對號,主線,花蓮
東里,非對號,主線,花蓮
玉里,對號,主線,花蓮
三民,非對號,主線,花蓮
瑞穗,非對號,主線,花蓮
富源,非對號,主線,花蓮
大富,非對號,主線,花蓮
光復,非對號,主線,花蓮
萬榮,非對號,主線,花蓮
鳳林,非對號,主線,花蓮
南平,非對號,主線,花蓮
林榮新,非對號,主線,花蓮
豐田,非對號,主線,花蓮
壽豐,非對號,主線,花蓮
平和,非對號,主線,花蓮
志學,非對號,主線,花蓮
吉安,非對號,主線,花蓮
花蓮,對號,主線,花蓮
北埔,非對號,主線,花蓮
景美,非對號,主線,花蓮
新城,非對號,主線,花蓮
崇德,非對號,主線,花蓮
和仁,非對號,主線,花蓮
和平,非對號,主線,花蓮
漢本,非對號,主線,宜蘭
武塔,非對號,主線,宜蘭
南澳,非對號,主線,宜蘭
東澳,非對號,主線,宜蘭
永樂,非對號,主線,宜蘭
蘇澳,非對號,主線,宜蘭
蘇澳新,對號,主線,宜蘭
新馬,非對號,主線,宜蘭
冬山,非對號,主線,宜蘭
羅東,非對號,主線,宜蘭
中里,非對號,主線,宜蘭
二結,非對號,主線,宜蘭
宜蘭,對號,主線,宜蘭
四城,非對號,主線,宜蘭
礁溪,非對號,主線,宜蘭
頂埔,非對號,主線,宜蘭
頭城,非對號,主線,宜蘭
外澳,非對號,主線,宜蘭
龜山,非對號,主線,宜蘭
大溪,非對號,主線,宜蘭
大里,非對號,主線,宜蘭
石城,非對號,主線,宜蘭
福隆,非對號,主線,新北
貢寮,非對號,主線,新北
雙溪,非對號,主線,新北
牡丹,非對號,主線,新北
三貂嶺,非對號,支線,新北
猴硐,非對號,主線,新北
瑞芳,對號,主線,新北
四腳亭,非對號,主線,新北
暖暖,非對號,主線,基隆
基隆,對號,主線,基隆
八堵,非對號,主線,基隆
七堵,對號,主線,基隆
五堵,非對號,主線,新北
汐止,非對號,主線,新北
南港,對號,主線,臺北
松山,對號,主線,臺北
臺北,對號,主線,臺北
萬華,對號,主線,臺北
板橋,對號,主線,新北
樹林,對號,主線,新北
山佳,非對號,主線,新北
鶯歌,非對號,主線,新北
桃園,對號,主線,桃園
內壢,非對號,主線,桃園
中壢,對號,主線,桃園
埔心,非對號,主線,桃園
楊梅,非對號,主線,桃園
富岡,非對號,主線,桃園
新富,非對號,主線,桃園
湖口,非對號,主線,竹縣
新豐,非對號,主線,竹縣
竹北,非對號,主線,竹縣
新竹,對號,主線,竹市
香山,非對號,主線,竹市
崎頂,非對號,主線,竹縣
竹南,對號,主線,竹縣
談文,非對號,主線,竹縣
大山,非對號,主線,竹縣
後龍,非對號,主線,竹縣
龍港,非對號,主線,竹縣
白沙屯,非對號,主線,竹縣
新埔,非對號,主線,竹縣
通霄,非對號,主線,竹縣
苑裡,非對號,主線,竹縣
日南,非對號,主線,臺中
大甲,非對號,主線,臺中
臺中港,非對號,主線,臺中
清水,非對號,主線,臺中
沙鹿,非對號,主線,臺中
龍井,非對號,主線,臺中
大肚,非對號,主線,臺中
追分,非對號,支線,臺中
造橋,非對號,主線,臺中
苗栗,對號,主線,臺中
南勢,非對號,主線,臺中
銅鑼,非對號,主線,臺中
三義,非對號,主線,臺中
泰安,非對號,主線,臺中
后里,非對號,主線,臺中
豐原,對號,主線,臺中
潭子,非對號,主線,臺中
臺中,對號,主線,臺中
烏日,非對號,主線,臺中
成功,非對號,支線,臺中
彰化,對號,主線,彰化
花壇,非對號,主線,彰化
員林,對號,主線,彰化
永靖,非對號,主線,彰化
社頭,非對號,主線,彰化
田中,非對號,主線,彰化
二水,非對號,支線,彰化
林內,非對號,主線,雲林
石榴,非對號,主線,雲林
斗六,對號,主線,雲林
斗南,非對號,主線,雲林
石龜,非對號,主線,雲林
大林,非對號,主線,嘉義
民雄,非對號,主線,嘉義
嘉義,對號,主線,嘉義
水上,非對號,主線,嘉義
南靖,非對號,主線,嘉義
後壁,非對號,主線,臺南
新營,對號,主線,臺南
柳營,非對號,主線,臺南
林鳳營,非對號,主線,臺南
隆田,非對號,主線,臺南
拔林,非對號,主線,臺南
善化,非對號,主線,臺南
新市,非對號,主線,臺南
永康,非對號,主線,臺南
臺南,對號,主線,臺南
保安,非對號,主線,臺南
中洲,非對號,支線,臺南
大湖,非對號,主線,高雄
路竹,非對號,主線,高雄
岡山,對號,主線,高雄
橋頭,非對號,主線,高雄
楠梓,非對號,主線,高雄
左營,非對號,主線,高雄
高雄,對號,主線,高雄
鳳山,非對號,主線,高雄
後庄,非對號,主線,高雄
九曲堂,非對號,主線,高雄
六塊厝,非對號,主線,屏東
屏東,對號,主線,屏東
歸來,非對號,主線,屏東
麟洛,非對號,主線,屏東
西勢,非對號,主線,屏東
竹田,非對號,主線,屏東
潮州,對號,主線,屏東
崁頂,非對號,主線,屏東
南州,非對號,主線,屏東
鎮安,非對號,主線,屏東
林邊,非對號,主線,屏東
佳冬,非對號,主線,屏東
東海,非對號,主線,屏東
枋寮,非對號,主線,屏東
加祿,非對號,主線,屏東
枋山,非對號,主線,屏東
大武,非對號,主線,臺東
瀧溪,非對號,主線,臺東
金崙,非對號,主線,臺東
太麻里,非對號,主線,臺東
知本,非對號,主線,臺東
康樂,非對號,主線,臺東
大慶,非對號,主線,臺中
三坑,非對號,主線,基隆
太原,非對號,主線,臺中
大橋,非對號,主線,臺南
大村,非對號,主線,彰化
嘉北,非對號,主線,嘉義
大華,非對號,支線,新北
十分,非對號,支線,新北
望古,非對號,支線,新北
嶺腳,非對號,支線,新北
平溪,非對號,支線,新北
菁桐,非對號,支線,新北
北新竹,非對號,支線,竹市
千甲,非對號,支線,竹市
新莊,非對號,支線,竹市
六家,非對號,支線,竹縣
竹中,非對號,支線,竹縣
上員,非對號,支線,竹縣
竹東,非對號,支線,竹縣
橫山,非對號,支線,竹縣
九讚頭,非對號,支線,竹縣
合興,非對號,支線,竹縣
富貴,非對號,支線,竹縣
內灣,非對號,支線,竹縣
榮華,非對號,支線,竹縣
源泉,非對號,支線,彰化
濁水,非對號,支線,南投
龍泉,非對號,支線,南投
集集,非對號,支線,南投
水里,非對號,支線,南投
車埕,非對號,支線,南投
百福,非對號,主線,基隆
汐科,非對號,主線,新北
浮洲,非對號,主線,新北
南樹林,非對號,主線,新北
新富,非對號,主線,桃園
北湖,非對號,主線,竹縣
三姓橋,非對號,主線,竹市
豐富,非對號,主線,苗栗
栗林站,非對號,主線,臺中
頭家厝,非對號,主線,臺中
松竹站,非對號,主線,臺中
精武站,非對號,主線,臺中
五權站,非對號,主線,臺中
新烏日,非對號,主線,臺中
仁德,非對號,主線,臺南
南科,非對號,主線,臺南
長榮,非對號,支線,臺南
沙崙,非對號,支線,臺南
新左營,對號,主線,高雄
海科館,非對號,支線,基隆
八斗子,非對號,支線,新北
內惟,非對號,主線,新北
美術館,非對號,主線,高雄
鼓山,非對號,主線,高雄
三塊厝,非對號,主線,高雄
民族,非對號,主線,高雄
科工,非對號,主線,高雄
正義,非對號,主線,高雄
鳳鳴,非對號,主線,新北
枋野,非對號,主線,特殊
內獅,對號,主線,特殊
南方小站,非對號,主線,特殊
臺北-環島,對號,主線,特殊
樹林調車場,非對號,主線,特殊
潮州基地,非對號,主線,特殊
