年份,春節連假,端午連假,中秋連假,暑假開始,暑假結束,事件_高鐵通車,covid-19
2005,02/06-02/13,06/11-06/12,09/17-09/18,7月1日,8月31日,,
2006,01/28-02/02,5月31日,10/06-10/08,7月1日,8月31日,,
2007,02/17-02/25,06/16-06/19,09/22-09/25,7月1日,8月31日,1月5日,
2008,02/06-02/11,06/07-06/09,09/13-09/15,7月1日,8月31日,,
2009,01/24-02/01,05/28-05/31,10/03-10/04,7月1日,8月31日,,
2010,02/13-02/21,6月16日,9月22日,7月1日,8月31日,,
2011,02/02-02/07,06/04-06/06,09/10-09/12,7月1日,8月31日,,
2012,01/21-01/29,06/23-06/25,9月30日,7月1日,8月31日,,
2013,02/09-02/17,6月12日,09/19-09/22,7月1日,8月31日,,
2014,01/30-02/04,05/31-06/02,09/06-09/08,7月1日,8月31日,,
2015,02/18-02/23,06/19-06/21,09/26-09/28,7月1日,8月31日,,
2016,02/06-02/14,06/09-06/12,09/15-09/18,7月1日,8月31日,,
2017,01/27-02/01,05/27-05/30,10月4日,7月1日,8月31日,,
2018,02/15-02/20,06/16-06/18,09/22-09/24,7月1日,8月31日,10月24日,
2019,02/02-02/10,06/07-06/09,09/13-09/15,7月1日,8月31日,,
2020,01/23-01/29,06/25-06/28,10/01-10/04,7月1日,8月31日,,01/21 開始
2021,02/10-02/16,06/12-06/14,09/18-09/21,7月1日,8月31日,4月2日,全年
2022,01/29-02/06,06/03-06/05,09/09-09/11,7月1日,8月31日,,全年
2023,01/20-01/29,06/22-06/25,09/29-10/01,7月1日,8月31日,,05/01 結束
2024,02/08-02/14,06/08-06/10,9月17日,7月1日,8月31日,,
2025,01/25-02/02,05/30-06/01,10/03-10/05,7月1日,8月31日,,
2026,02/14-02/22,06/19-06/21,09/25-09/28,7月1日,8月31日,,
